Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Parallel Universe,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Edgy Dagger,Do [sword] 10x<d6> to enemy[;]|but [sword] 5x<d6> to yourself|[gray](once per battle),2,attack(10 * d); attackself(5 * d); sfxdamage(target[;]5 * d);,,MAX2,,PURPLE,change_poison,decreaserange,,,0,NO,YES,NO,,,,,,,,,,,,,attackself(5 * d); sfxdamage(self[;]5 * d);
Edgy Dagger_upgraded,Inflict 10x<d6>[poison] to enemy[;]|but 8x<d6>[poison] to yourself|[gray](once per battle),2,inflict(POISON[;] 10 * d); inflictself(POISON[;] 8 * d); sfx(~_poison~);,,MAX2,,PURPLE,,,poison,,0,NO,YES,NO,,,,,,,,,,,,,inflictself(POISON[;] 8 * d); sfx(~_poison~);
Pocket Calculator,50% Chance to |Duplicate the dice|[gray](Reuseable?),1,var odds = 50; if(getstatusself(~luck~) > 0){ odds = 100; } if(getstatusself(~luck+~) > 0){ odds = 100; } if(chance(odds)) { self.textparticle(~Success!~); givedice([d[;]d]); } else{ if(!onlimit) roboterror(self[;] [e]); },,MIN4,,GREEN,simplify,decreaserange,,,-1,NO,NO,NO,hidereuseable,,,,,,,,,,,,
Spiky Dice,[red][110%]Spare Dice?[110%][red]|[gray](Reuseable),1,pierceattackself(7);,,SPARE1,,GRAY,reuseable,burnsparedice,,,3,YES,NO,NO,,,,,,,,,,,,,
Emergency 4,Lose [heart]4 health|[gray](once per battle),1,pierceattackself(4);,,SPARE4,,RED,change_poison,burnsparedice,,,0,YES,YES,NO,,,,,,,,,,,,,
Spring Break,Lose [heart]20 Hp|Heal [heal]25 hp,1,pierceattackself(20); attackself(-25);,,COUNTDOWN,50,YELLOW,quartercountdown,,,,0,NO,NO,NO,,,,,,,,,,,,,
Focus,Dice value +1|[gray](Reuseable),2,givedice(d + 1);,,MAX5,,BLUE,change_power,decreaserange,,,2,NO,NO,NO,,,,,,,,,,,,,
Focus_upgraded,Dice value +1|[gray](Reuseable),2,givedice(d + 1);,,MAX5,,CYAN,,,,,4,NO,NO,NO,,,,,,,,,,,,,
Yeet Gun,Do <d6> Damage[;]|In <d6> Turns[;] Inflict [fire]<d6>,1,attack(d); jinx(~YEET~[;]~take [fire]%VAR% burn~[;]~Take [fire]%VAR% burn~[;]~inflict(FIRE[;] %VAR%); sfxdamage(null[;]%VAR%);~[;]target[;]self[;]d[;](d));,,NORMAL,,RED,add2,complicate,,,0,NO,NO,NO,,,,,,,,,,,,,
Distraction,In <d6> Turns[;]| Inflict <double>[weaken] Weaken,1,jinx(~Distracted!~[;]~inflict [weaken]%VAR% weaken~[;]~Inflict [weaken]%VAR% weaken~[;]~inflict(WEAKEN[;] %VAR%); sfxdamage(null[;]%VAR%);~[;]self[;]target[;]d[;](d * 2)); sfx(~_thinghappens~);,,MAX3,,CYAN,increaserange,complicate,weaken,,2,NO,NO,NO,,,,,,,,,,,,,
Splitdle_upgraded,Split Dice[;]  Lose [heart]2 hp|[gray](Reuseable),1,pierceattackself(2); givedice(split(d)[;] ~splitdice~);,,MIN2,,RED,,,,,-1,YES,NO,NO,,,,,,,,,,,,,
Splitdle_downgraded,Split Dice[;]  Lose [heart]3 hp|[gray](Reuseable),1,pierceattackself(3); givedice(split(d)[;] ~splitdice~);,,RANGE24,,RED,,,,,3,YES,NO,NO,,,,,,,,,,,,,
Bump pick,Dice value +1|Split the dice,1,givedice(split(d + 1)[;] ~splitdice~); /*I would have put a hyphen in the name but y'know... Also I would like to add that splitdice just doesent work id d is higer than 6*/,,MAX5,,GREEN,change_power,decreaserange,,,0,YES,NO,NO,,,,,,,,,,,,,
Bump pick_upgraded,Dice value +1[;] Split dice|[gray](Reuseable),1,givedice(split(d + 1)[;] ~splitdice~);,,MAX5,,GREEN,,,,,2,YES,NO,NO,,,,,,,,,,,,,
Wallet,Gain [gold]10,1,self.gold += 10;,,,,RED,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Chips_upgraded,Heal [heal]4 health|on reducing countdown,1,,,COUNTDOWN,45,GREEN,,,,,0,YES,NO,NO,,,,,,,,attackself(-4);,,,,,
Steak Overflow,Recover [heal]9 health|immune to errors,1,attackself(-9); if(self.hp < self.maxhp) bonus(500 * 9);,,COUNTDOWN,12,GRAY,,,,,0,NO,NO,NO,errorimmune|robotonly,,,,,,,,,,,,
Steak Overflow_upgraded,Recover [heal]12 health|immune to errors,1,attackself(-12); if(self.hp < self.maxhp) bonus(500 * 12);,,COUNTDOWN,12,GRAY,,,,,0,NO,NO,NO,errorimmune|robotonly,,,,,,,,,,,,
Steak Overflow_downgraded,Recover [heal]6 health|immune to errors,1,attackself(-6); if(self.hp < self.maxhp) bonus(500 * 6);,,COUNTDOWN,12,GRAY,,,,,0,NO,NO,NO,errorimmune|robotonly,,,,,,,,,,,,
Glass Salad,If above 1 HP[;]Lose all but 1 hp[;]|Increase max health by 3|[gray](once per battle),2,if(self.hp >= 1) { pierceattackself(self.hp -1); self.maxhp+=3; },,DOUBLES|DOUBLES,,RED,change_power,change_power,,,0,NO,YES,NO,,,,,,,,,,,,,
Countflower,+1 to countdown reduction|[gray](Start of turn: Reduce by <evar:boost>),1,e.setvar(~boost~[;]e.getvar(~boost~) + 1); sfx(~_magic~);,,COUNTDOWN,8,ORANGE,change_power,change_power,,,0,YES,NO,NO,weakenavoid,,e.setvar(~boost~[;]1);,,,e.animate(~flashandshake~); sfx(~_magic~); boostcountdowns(e.getvar(~boost~));,,,,,,,
Countflower_upgraded,Reduce counts by <evar:boost>[;]|+1 each use|(Start of turn: reduce by <evar:boost>),1,boostcountdowns(e.getvar(~boost~)); e.setvar(~boost~[;]e.getvar(~boost~) + 1); sfx(~_magic~);,,COUNTDOWN,8,ORANGE,,,,,0,YES,NO,NO,,,e.setvar(~boost~[;]1);,,,e.animate(~flashandshake~); sfx(~_magic~); boostcountdowns(e.getvar(~boost~));,,,,,,,
Countflower_downgraded,No Effect,1,e.setvar(~boost~[;]e.getvar(~boost~));,,COUNTDOWN,11,ORANGE,,,,,0,YES,NO,NO,,,e.setvar(~boost~[;]1);,,,,,,,,,,
Hunter's Rage,Gain [fury] Fury,1,if(getstatusself(FURY) == 0) { bonus(1000); } else { bonus(-1000); } inflictself(FURY);,,EVEN,,RED,simplify,complicate,,,0,NO,YES,NO,,,,,,,,,,,,,
Emergency 5,Lose [heart]4 health|[gray](once per battle),1,pierceattackself(4);,,SPARE5,,RED,change_power,burnsparedice,,,0,YES,YES,NO,,,,,,,,,,,,,
Emergency 6,Lose [heart]4 health|[gray](once per battle),1,pierceattackself(4);,,SPARE6,,RED,change_power,burnsparedice,,,0,YES,YES,NO,,,,,,,,,,,,,
ImpHail,Do [ice]2 damage[;]|Do [fire]3 damage|[gray](Reuseable),1,attack(2[;] ICE); attack(3[;] FIRE); sfx(~_fire~); sfx(~_ice~);,,COUNTDOWN,7,PURPLE,change_power,change_power,,,2,NO,NO,NO,,1,,,,,,,,,,,
ImpHail_upgraded,Do [ice]2 damage[;]|Do [fire]3 damage|[gray](Reuseable),1,attack(2[;] ICE); attack(3[;] FIRE); sfx(~_fire~); sfx(~_ice~);,,COUNTDOWN,7,PURPLE,,,,,3,NO,NO,NO,,,,,,,,,,,,,
ImpHail_downgraded,Do [ice]1 damage[;]|Do [fire]2 damage|[gray](Reuseable),1,,,COUNTDOWN,7,PURPLE,,,,,2,NO,NO,NO,,,,,,,,,,,,,
Twin Pin,Do [sword]<d6> damage|[gray](Reuseable),1,attack(d); sfxdamage(target[;]d);,,REQUIRE2|FREE2,,RED,change_power,change_power,,,3,NO,NO,NO,,,,,,,,,,,,,
Twin Pin_upgraded,Do [sword]<d6> damage|[gray](Reuseable),1,attack(d); sfxdamage(target[;]d);,,REQUIRE2|FREE2,,RED,,,,,-1,NO,NO,NO,,,,,,,,,,,,,
Twin Pin_downgraded,Do [sword]<d6> damage|[gray](Reuseable),1,attack(d); sfxdamage(target[;]d);,,REQUIRE2,,RED,,,,,3,NO,NO,NO,,,,,,,,,,,,,
Pin's Twin,Do [sword]2 damage|Roll a 2|[gray](Reuseable),1,givedice(2); attack(2); sfx(~splitdice~); sfxdamage(target[;]2);,,COUNTDOWN,3,GREEN,change_power,change_power,,,2,NO,NO,NO,,,,,,,,,,,,,
Pin's Twin_upgraded,Do [sword]2 damage|Roll a 2|[gray](Reuseable),1,givedice(2); attack(2); sfx(~splitdice~); sfxdamage(target[;]2);,,COUNTDOWN,3,GREEN,,,,,3,NO,NO,NO,,,,,,,,,,,,,
Pin's Twin_downgraded,Roll a 2,1,givedice(2); sfx(~splitdice~);,,COUNTDOWN,3,GREEN,,,,,2,NO,NO,NO,,,,,,,,,,,,,
Hot Pepper Cookie,Gain [fury] Fury|[gray](Self inflict [fire]3 burn),1,if(getstatusself(FURY) == 0) { bonus(1000); } else { bonus(-1000); } inflictself(FURY);,,COUNTDOWN,9,ORANGE,change_power,,,,0,YES,NO,NO,,,,,inflictself(FIRE[;]3); sfx(~_fire~);,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Hot Pepper Cookie_upgraded,Gain [fury] Fury|[gray](Self inflict [fire]3 burn),1,if(getstatusself(FURY) == 0) { bonus(1000); } else { bonus(-1000); } inflictself(FURY);,,COUNTDOWN,7,ORANGE,,,,,0,YES,NO,NO,,,,,inflictself(FIRE[;]3); sfx(~_fire~);,,,,,,,e.preventdefault = true; e.maintainfury = true;,
Sharpened Straw,Odd: [sword]<d6> damage|Even: [heart]<d6> drain,2,if(d%2 == 0){ drain(d); sfx(~_drain~); } else { attack(d); sfxdamage(target[;]d); },,MAX5,,RED,change_power,decreaserange,,,0,NO,NO,NO,,,,,,,,,,,,,
Sharpened Straw_upgraded,Even: [sword]<d6> damage|Odd: [heart]<d6> drain,2,if(d%2 == 0){ attack(d); sfxdamage(target[;]d); } else { drain(d); sfx(~_drain~); },,MAX5,,RED,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Emergency 4_upgraded,Lose [heart]4 health,1,pierceattackself(4);,,SPARE4,,RED,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Emergency 5_upgraded,Lose [heart]4 health,1,Pierceattackself(4);,,SPARE5,,RED,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Emergency 6_upgraded,Lose [heart]4 health,1,pierceattackself(4);,,SPARE6,,RED,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Hail's Imp,Do [fire]2 damage[;]|Do [ice]3 damage|[gray](Reuseable),1,attack(2[;] FIRE); attack(3[;] ICE); sfx(~_ice~); sfx(~_fire~);,,COUNTDOWN,7,PINK,change_power,change_power,,,2,NO,NO,NO,,1,,,,,,,,,,,
Hail's Imp_upgraded,Do [fire]2 damage[;]|Do [ice]3 damage|[gray](Reuseable),1,attack(2[;] FIRE); attack(3[;] ICE); sfx(~_ice~); sfx(~_fire~);,,COUNTDOWN,7,PINK,,,,,3,NO,NO,NO,,,,,,,,,,,,,
Hail's Imp_downgraded,Do [fire]1 damage[;]|Do [ice]2 damage|[gray](Reuseable),1,attack(1[;] FIRE); attack(2[;] ICE); sfx(~_ice~); sfx(~_fire~);,,COUNTDOWN,7,PINK,,,,,2,NO,NO,NO,,,,,,,,,,,,,
Underwhelm,[sword]<timesused> dmg[;] +[sword]1 each use|[gray](Reuseable),1,attack(e.timesused+1); sfxdamage(target[;]e.timesused+1);,,COUNTDOWN,6,RED,change_power,removereusable,,,2,NO,NO,NO,,,,,,,,,,,,,
Underwhelm_upgraded,[sword]<timesused> dmg[;] +[sword]1 each use|[gray](Reuseable),1,attack(e.timesused+1); sfxdamage(target[;]e.timesused+1);,,COUNTDOWN,6,RED,,,,,3,NO,NO,NO,,,,,,,,,,,,,
Gradd,Do [sword]<d6> dmg[;] Reroll dice|,1,attack(d); givedice(); sfxdamage(target[;]d);,,REQUIRE1,,GRAY,add1,change_power,,,2,NO,NO,NO,,1,,,,,,,,,,,givedice();
Gradd_upgraded,Do [sword]<d6> dmg[;] Reroll dice|,1,attack(d); givedice(); sfxdamage(target[;]d);,,REQUIRE1|FREE1,,GRAY,,,,,3,NO,NO,NO,,,,,,,,,,,,,givedice();
Gradd_downgraded,Get a new dice|,1,givedice();,,REQUIRE1,,GRAY,,,,,4,YES,NO,NO,,,,,,,,,,,,,
Shrek,Curse enemy,1,inflict(CURSE);,,REQUIRE2|REQUIRE3,,PURPLE,change_power,noeffect,,,0,NO,NO,NO,,,,,,,,,,,,,
Shrek_upgraded,Curse enemy,1,inflict(CURSE);,,RANGE25|RANGE35,,PURPLE,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Lowplicate,Dice value -2[;] then Duplicate|[gray](Reuseable),1,givedice([d-2[;]d-2]);,,MIN3,,GREEN,change_power,decreaserange,,,2,YES,NO,NO,,,,,,,,,,,,,
Lowplicate_upgraded,Dice value -2[;] then Duplicate|[gray](Reuseable),1,givedice([d-2[;]d-2]);,,MIN3,,GREEN,,,,,3,YES,NO,NO,,,,,,,,,,,,,
Scare 2,2 Twos,1,,,SPARE2|SPARE2,,YELLOW,,,,,0,YES,NO,NO,,,,,,,,,,,,,
Lantwern,Get 2 2s next turn[;]|Return the dice,1,inflictself(~stash~+2[;]2); inflictself(~lantern~); givedice([d[;] d]);,,REQUIRE2|REQUIRE2,,YELLOW,,,,,0,YES,NO,NO,,,,,,,,,,,,,
Lantwern_upgraded,Get 3 2s next turn[;]|Return the dice,1,inflictself(~stash~+2[;]3); inflictself(~lantern~); givedice([d[;] d]);,,REQUIRE2|REQUIRE2,,YELLOW,,,,,0,YES,NO,NO,,,,,,,,,,,,,
Jemmy,Reduce counts by <double>,1,boostcountdowns(d*2);,,MAX2|MAX3,,GREEN,change_power,decreaserange,,,0,YES,NO,NO,,,,,,,,,,,,,
Jemmy_upgraded,Reduce counts by <double>|,1,boostcountdowns(d*2);,,MAX2|MAX3,,GREEN,,,,,2,YES,NO,NO,,,,,,,,,,,,,
Glass Salad_weakened,Lose all but 1 hp[;]|Increase max health by 3|[gray](once per battle),1,if(self.hp >= 1) { pierceattackself(self.hp -1); self.maxhp+=3; },,MIN5|MIN5,,RED,,,,,0,NO,YES,NO,,,,,,,,,,,,,
Glass Salad_downgraded,Lose all but 1 hp[;]|Increase max health by 3|[gray](once per battle),2,if(self.hp >= 1) { pierceattackself(self.hp -1); self.maxhp+=3; },,MIN5|MIN5,,RED,,,,,0,NO,YES,NO,,,,,,,,,,,,,
Glass Salad_deckupgrade,Lose all but 1 hp[;]|Increase max health by 3|[gray](once per battle),2,if(self.hp >= 1) { pierceattackself(self.hp -1); self.maxhp+=3; },,NORMAL|NORMAL,,RED,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Glass Salad_upgraded,If above 1 HP[;]Lose all but 1 hp[;]|Increase max health by 3,2,if(self.hp >= 1) { pierceattackself(self.hp -1); self.maxhp+=3; },,DOUBLES|DOUBLES,,RED,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Explosive Antidote,Do [sword]2 per [poison] on the enemy|Cure ALL their [poison]Poison,1,attack(getstatus(POISON) * 2); removestatus(POISON[;]ALL);,,DOUBLES|DOUBLES,,PURPLE,,,,,0,NO,NO,NO,,,,,,,,,,,,,removestatus(POISON[;]ALL);
Explosive Antidote_upgraded,Do [sword]2 per [poison] on the enemy|Cure ALL their [poison]Poison,1,attack(getstatus(POISON) * 2); removestatus(POISON[;]ALL);,,EVEN,,PURPLE,,,,,0,NO,NO,NO,,,,,,,,,,,,,removestatus(POISON[;]ALL);
Explosive Antidote_downgraded,Do [sword]1 per [poison] on the enemy|Cure ALL their [poison]Poison,1,attack(getstatus(POISON)); removestatus(POISON[;]ALL);,,DOUBLES|DOUBLES,,PURPLE,,,,,0,NO,NO,NO,,,,,,,,,,,,,removestatus(POISON[;]ALL);
Crow's Wall,Reduce countdowns by <d6>|[gray](Reuseable),1,boostcountdowns(d); boostcountdowns(d);,,DOUBLES|DOUBLES,,GREEN,change_power,removereusable,,,-1,NO,NO,NO,,,,,,,,,,,,,
Crow's Wall_upgraded,Reduce countdowns by <d6>|[gray](Reuseable),1,boostcountdowns(d);,,NORMAL|NORMAL,6,GREEN,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Rexing Fall,Take [sword]4[;] Boost counts by 6|[gray](Reuseable),1,boostcountdowns(6); attackself(4);,,REQUIRE1,,RED,reuseable,removereusable,,,2,YES,NO,NO,,,,,,,,,,,,,
Mirror's Edge,Do [sword]2[;] +1 dice this fight|[gray](Reuseable),1,if(simulation) { bonus(1000); } else{ attack(2); self.extradice++; },,REQUIRE6|EVEN,,PURPLE,change_power,complicate,,,2,NO,NO,NO,,,,,,,,,,,,,
Mirror's Edge_upgraded,Do [sword] 2[;] +1 dice this fight|[gray](Reuseable),1,if(simulation) { bonus(1000); } else{ attack(2); self.extradice++; },,REQUIRE6|NORMAL,,PURPLE,,,,,2,NO,NO,NO,,,,,,,,,,,,,
Glock,Do [shield]<d6> Damage|[gray](Reuseable),2,attack(d[;] SHIELD); sfx(~_shield~);,,MIN5,,RED,reducesize,removereusable,,,2,NO,NO,NO,,,,,,,,,,,,,
New Moon Charm,Roll a six and a four,1,givedice([6[;] 4]);,,COUNTDOWN,9,GREEN,twothirdcountdown,change_power,,,0,YES,NO,NO,,,,,,,,,,,,,
New Moon Charm_downgraded,Roll a Four,1,givedice([4]);,,,,GREEN,,,,,0,YES,NO,NO,,,,,,,,,,,,,
Snek Sphere Charm,Roll 3 Ones,1,givedice([1[;] 1[;] 1]);,,COUNTDOWN,8,GREEN,change_power,change_power,,,0,YES,NO,NO,,,,,,,,,,,,,
Snek Sphere Charm_upgraded,Roll 4 Ones,1,givedice([1[;] 1[;] 1[;] 1]);,,COUNTDOWN,8,GREEN,,,,,0,YES,NO,NO,,,,,,,,,,,,,
Snek Sphere Charm_downgraded,Roll 2 ones,1,givedice([1[;] 1]);,,,,GREEN,,,,,0,YES,NO,NO,,,,,,,,,,,,,
Legger,[sword]1 damage per unused dice|[gray](Reuseable),1,var temp = 0; for(d in self.dicepool) { if(d.available()) temp++; } attack((temp + 1)); sfxdamage(target[;] temp + 1);,,ODD,,RED,change_power,removereusable,,,2,NO,NO,NO,,,,,,,,,,,,,
Banter,Gain [reduce]3 Reduce[;]|Gain [recycle]1 Re-equip,1,inflictself(REEQUIPNEXT); inflictself(REDUCE[;] 3);,,MIN3|MIN3,,RED,change_power,,,,0,YES,NO,NO,,,,,,,,,,,,,
Banter_upgraded,Gain [reduce]3 Reduce[;]|Gain [recycle]1 Re-equip,1,inflictself(REEQUIPNEXT); inflictself(REDUCE[;] 3);,,MIN5,,RED,,,,,0,YES,NO,NO,,,,,,,,,,,,,
Banter_downgraded,Gain [reduce]1 Reduce[;]|Gain [recycle]1 Re-equip,1,inflictself(REEQUIPNEXT); inflictself(REDUCE[;] 1);,,,,RED,,,,,0,YES,NO,NO,,,,,,,,,,,,,
Can O' Beans,Roll 2 Fives,1,givedice([5[;] 5]);,,COUNTDOWN,7,YELLOW,twothirdcountdown,noeffect,,,0,YES,NO,NO,,,,,,,,,,,,,
Stormy Day,Inflict [lock]2 And[weaken]2[;]|But give the enemy [fury]Fury,1,inflict(WEAKEN[;] 2); inflict(LOCK[;] 2); inflict(FURY);,,COUNTDOWN,8,GRAY,threequartercountdown,change_power,,,0,NO,NO,NO,,,,,,,,,,,,,
Stormy Day_downgraded,Inflict [weaken]2 Weaken[;]|But give the enemy [fury]Fury,1,inflict(WEAKEN[;] 2); inflict(FURY);,,,,GRAY,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Combat Hatchet,Do [sword]<double> damage|[gray](Reuseable),1,attack(d * 2); bonus(200); sfxdamage(target[;]d * 2);,,MAX2,,YELLOW,increaserange,removereusable,,,3,NO,NO,NO,,,,,,,,,,,,,
Crow's Egg,Lower counts by 2[;] Heal [heal]1|[gray](Reuseable),1,boostcountdowns(2); attackself(-1); sfx(~_heal~);,,ODD,,GREEN,change_power,removereusable,,,2,YES,NO,NO,,,,,,,,,,,,,
Crow's Egg_upgraded,Lower counts by 3[;] Heal [heal]1|[gray](Reuseable),1,boostcountdowns(3); attackself(-1);,,ODD,,GREEN,,,,,2,NO,NO,NO,,,,,,,,,,,,,
Snoot,Do [sword]3 damage|Recover [heal]3 health,1,attack(3); attackself(-3); sfx(~_heal~); sfxdamage(target[;]3);,,COUNTDOWN,7,YELLOW,change_power,change_power,,,0,NO,NO,NO,,,,,,,,,,,,,attackself(-3); sfx(~_heal~)
Snoot_downgraded,Do [sword]2 damage|Recover [heal]2 health,1,attack(2); attackself(-2); sfx(~_heal~); sfxdamage(target[;]2);,,COUNTDOWN,7,YELLOW,,,,,,NO,NO,NO,,,,,,,,,,,,,attackself(-2); sfx(~_heal~)
Snoot_upgraded,Do [sword]4 damage|Recover [heal]4 health,1,attack(4); attackself(-4); sfx(~_heal~); sfxdamage(target[;]4);,,COUNTDOWN,7,YELLOW,,,,,0,NO,NO,NO,,,,,,,,,,,,,attackself(-4); sfx(~_heal~)
Glock_downgraded,Do [shield]<d6> Damage,1,attack(d[;] SHIELD); sfx(~_shield~);,,,,RED,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Poison Darts,Add [poison]2 poison|[gray](Reuseable),1,inflict(POISON[;] 2);,,COUNTDOWN,6,PURPLE,change_power,removereusable,,,2,NO,NO,NO,,,,,,,,,,,,,
Poison Darts_upgraded,Add [poison]2 poison|[gray](Reuseable),1,inflict(POISON[;] 2);,,COUNTDOWN,6,PURPLE,,,,,3,NO,NO,NO,,,,,,,,,,,,,
Trapped Rat,Inflict [poison]1 poison[;]|Roll a burning dice|,1,inflict(POISON); inflictself(FIRE); givedice();,,COUNTDOWN,6,PURPLE,change_power,removereusable,,,2,NO,NO,NO,,,,,,,,,,,,,inflictself(FIRE); givedice();
Crow,Lower countdowns by 4[;]|roll a new dice|,1,boostcountdowns(4); givedice();,,COUNTDOWN,8,GREEN,change_power,removereusable,,,2,YES,NO,NO,,,,,,,,,,,,,
Crow_upgraded,Lower countdowns by 4[;]|roll a new dice|,1,boostcountdowns(4); givedice();,,COUNTDOWN,8,GREEN,,,,,4,YES,NO,NO,,,,,,,,,,,,,
Legger_upgraded,[sword]1 damage per unused dice|[gray](Reuseable),1,var temp = 0; for(d in self.dicepool) { if(d.available()) temp++; } attack((temp + 1)); sfxdamage(target[;] temp + 1);,,ODD,,RED,,,,,3,NO,NO,NO,,,,,,,,,,,,,
Plasma Drainer,Drain [heart]6 health,1,drain(6); sfxdamage(target[;]7); sfx(~_drain~);,,COUNTDOWN,20,RED,change_power,change_power,,,0,NO,NO,NO,,,,,,,,,,,,,
Plasma Drainer_upgraded,Drain [heart]6 health[;]|Do [sword]2 damage,1,drain(6); attack(2); sfxdamage(target[;]8); sfx(~_drain~);,,COUNTDOWN,20,RED,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Plasma Drainer_downgraded,Drain [heart]4 health,1,drain(4); sfxdamage(target[;]4); sfx(~_drain~);,,COUNTDOWN,20,RED,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Mirror Slash,+1 dice[;]|Do [sword]2 for each dice you roll,1,self.extradice++; var attackamount = self.dice + self.bonusdice + self.extradice; attack(attackamount * 2); sfxdamage(target[;]attackamount*2); sfx(~_magic~);,,COUNTDOWN,30,PURPLE,change_power,change_power,,,0,NO,NO,NO,,,,,,,,,,,,,
Mirror Slash_upgraded,+1 dice[;]|Do [sword]3 for each dice you roll,1,self.extradice++; var attackamount = self.dice + self.bonusdice + self.extradice; attack(attackamount * 3); sfxdamage(target[;]attackamount*3); sfx(~_magic~);,,COUNTDOWN,30,PURPLE,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Mirror Slash_downgraded,+1 dice[;]|Do [sword]1 for each dice you roll,1,self.extradice++; var attackamount = self.dice + self.bonusdice + self.extradice; attack(attackamount); sfxdamage(target[;]attackamount); sfx(~_magic~);,,COUNTDOWN,30,PURPLE,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Vampiric Grasp,Steal [heart]2 Max Hp|(Start of fight: half max HP),1,target.maxhp-=2; pierceattack(2); self.maxhp+=2; pierceattackself(-2); sfx(~_drain~);,,COUNTDOWN,12,RED,change_power,change_power,,,0,NO,NO,NO,,,self.maxhp-=(self.maxhp/2); self.hp=(self.maxhp);,,,,,,,,,,
Vampiric Grasp_upgraded,Steal [heart]2 Max Hp|(Start of fight: [heart]-15 Max Hp),1,target.maxhp-=2; pierceattack(2); self.maxhp+=2; pierceattackself(-2); sfx(~_drain~);,,COUNTDOWN,12,RED,,,,,0,NO,NO,NO,,,self.maxhp-=15; self.hp-=15;,,,,,,,,,,
